id,严重程度,问题标签,问题产品,答案产品,答案长度,PIC数量,图片数量,question,answer_start
1,正常,,,,103,0,0,"""请问你们家的商品支持7天无理由退换货吗？"", / ""需要自己承担运费吗？""",您好，符合条件的商品支持7天无理由退换货，您可以在订单售后入口提交申请并按页面提示寄回。 / 您好，非质量问题退换货时，寄回运费通常由买家承担；如果是质量问题、错发、漏发或运输破损，经核实后由商家承担相应运费。
2,正常,,,,117,0,0,"""我想咨询一下，你们的售后维修服务范围是什么？"", / ""如果是人为损坏的，能维修吗？维修费用怎么算？""",您好，售后维修服务通常覆盖质保期内因非人为原因产生的性能故障，具体以商品保修政策、检测结论和订单记录为准。 / 您好，人为损坏、进水、摔坏、私自拆修或超出质保期的情况也可以申请检测维修，但可能需要根据检测结果收取配件费、人工费和往返运费。
3,正常,,,,93,0,0,"""请问你们的商品能开发票吗？发票类型是什么？"", / ""多久能收到呢？""",您好，商品支持开具发票，一般可开个人抬头或企业抬头发票，具体类型以商品页面和平台开票入口为准。 / 您好，发票通常会在订单完成或确认收货后按平台流程开具，电子发票会发送到订单绑定账户或邮箱。
4,正常,,,,108,0,0,"""我收到商品后，发现包装破损了，怎么办？"", / ""影响商品退换货吗？""",您好，请尽快拍摄外包装、快递面单、破损位置、商品状态和开箱后照片，并保留全部包装材料后提交售后核实。 / 您好，包装破损不一定影响售后；如果核实为运输破损、商品损坏或到货异常，可按审核结果安排补发、换货、维修或退货退款。
6,正常,,,,102,0,0,"""我想了解一下你们的退款政策，退款多久能到账？"", / ""信用卡会原路返回吗？""",您好，退款会在售后审核通过、退货入库或订单取消成功后发起，通常原路退回；银行卡或信用卡可能需要3-7个工作日入账。 / 您好，信用卡订单通常会按原支付路径退回到对应信用卡账户，具体入账时间以银行处理时效为准。
7,正常,,,,131,0,0,"""我收到的商品和图片不一样，颜色偏差很大，我要投诉！""",您好，商品颜色与详情页明显不一致或伴随异味时，可以申请售后核实。请您提供订单号、商品实拍图/视频、详情页颜色描述截图和外包装照片。若确认属于描述不符、批次异常或质量问题，我们会协助办理换货、退货退款或补偿；若只是轻微色差，也会结合页面说明和商品状态给出处理方案。
8,正常,,,,122,0,0,"""你们的商品存在虚假宣传，宣传的功能和实际不一样，我要投诉！""",您好，若实际功能、无线充电能力或续航表现与详情页承诺不一致，请保留商品测试视频、详情页截图、订单信息、检测结果和沟通记录。我们会核实商品描述、实际测试情况和页面承诺；确认描述不符、功能缺失或宣传不实的，可协助退货退款、换货、补偿或升级投诉处理。
9,正常,,,,99,0,0,"""我收到的商品少了一件，联系客服说会补发，但是过了一周还没补发！""",您好，若收到商品少件，请先保留外包装、快递面单和商品清点照片，并提供订单号。我们会核对出库重量、打包记录和物流情况；确认少发后会尽快为您补寄缺少商品或配件，责任在商家或物流方时不需要您承担补寄运费。
10,正常,,,,143,0,0,"""你们的售后维修服务太差了，我送修的商品，过了半个月还没修好！""",您好，维修时间已经影响正常使用，建议升级催办并核实责任。请提供订单号、维修单号、送修时间、检测结论、收费说明和客服沟通记录。我们会确认是否超过承诺时效、是否属于质保范围以及当前维修进度；如确认为非人为质量问题或售后超时，会协助继续免费维修、换货、退货退款、退还不合理费用或申请合理补偿。
11,正常,,,,138,0,0,"""你们的商品保质期有问题，我收到的商品还有1个月就过期了！""",您好，我们非常抱歉您收到的商品即将过期。根据我们的政策，如果您收到的商品存在临期、过期、生产日期异常、包装破损或受潮等情况，请立即停止使用并保留商品、外包装、批次/生产日期照片和订单信息。请您尽快联系我们的客户服务团队，我们将为您提供详细的退换货流程指导。感谢您的理解与配合。
12,正常,,,,161,0,0,"""你们的快递员态度特别差，送货时还辱骂我，我要投诉！""",非常抱歉听到您遭遇了如此不愉快的快递服务体验！对于快递员态度差、甚至辱骂您的行为，我们高度重视并深表歉意。请您提供订单号或收货人姓名+电话，我们将立即为您登记服务投诉工单，并在24小时内由专属客服专员电话回访，同步向快递公司核查处理结果。根据《客户服务政策》，此类服务态度问题属优先升级事项，我们承诺全程跟进直至闭环反馈。
13,正常,,,,131,0,0,"""你们的商品存在质量问题，我使用了一次就坏了，联系客服没人管！""",您好，非常抱歉让您有这样的体验。我们会记录并优先处理您的反馈。请提供订单号、商品照片或视频、详情页截图、测试记录、聊天记录、物流信息等凭证，我们会核实商品描述、质量情况、服务过程和责任原因；如问题属实，将按平台规则为您办理退换货、维修、补偿、赔付或升级投诉处理。
14,正常,,,,135,0,0,"""我收到的商品被拆封过，里面还有污渍，明显是二手商品，我要投诉！""",您好，非常抱歉给您带来不好的体验。请先保留商品、外包装和快递面单，并拍摄商品被拆封、有污渍以及缺失配件等异常情况的照片。我们会结合物流记录、出库记录和您提供的凭证核实；若确认为运输破损、漏发、错发、二手/翻新或商品异常，将为您安排补发、换货、退货退款或其他合理售后方案。
15,正常,,,,131,0,0,"""你们的商品宣传是正品，但是我收到后验证是假货，我要投诉！""",您好，非常抱歉让您有这样的体验。我们会记录并优先处理您的反馈。请提供订单号、商品照片或视频、详情页截图、测试记录、聊天记录、物流信息等凭证，我们会核实商品描述、质量情况、服务过程和责任原因；如问题属实，将按平台规则为您办理退换货、维修、补偿、赔付或升级投诉处理。
16,正常,,,,128,0,0,"""我收到商品后，发现商品有轻微划痕，不影响使用，能申请换货吗？""",您好，商品有轻微划痕时建议先拍清楚划痕位置、整体外观和外包装，并提交订单号申请售后核实。若划痕属于运输、出厂或质量异常造成，即使不影响使用，也可按审核结果申请换货、退货退款或适当补偿；若商品已明显影响二次销售且无法证明为到货异常，可能会影响无理由退换审核。
17,正常,,,,108,0,0,"""我想换货，但是原来的商品包装盒丢了，还能换吗？"", / ""需要我额外支付包装费吗？""",您好，包装盒丢失时建议先联系客服说明情况并提供订单号和商品照片，我们会结合商品品类和实际状态核实是否仍可换货。 / 您好，如果需要补包装或商品状态已影响二次销售，可能产生相应费用或影响退换货审核，具体以售后核实结果为准。
18,正常,,,,97,0,0,"""我想退货，但是已经超过7天无理由退换货期限了，还能退吗？""",您好，若已超过7天无理由退换货期限，一般无法按无理由退货处理。但如果商品存在质量问题、错发漏发或与描述明显不符，仍可以提供订单号、问题照片或检测凭证申请售后，我们会按质保和平台规则为您核实处理。
19,正常,,,,89,0,0,"""请问你们的商品能提供纸质版说明书吗？"", / ""电子版在哪里可以找到？""",您好，部分商品会随箱提供纸质说明书，是否随附以具体商品包装和页面说明为准。 / 您好，电子版说明书通常可在商品详情页、订单售后入口查看，也可以联系客服并提供商品型号或订单号协助定位。
20,正常,,,,97,0,0,"""请问你们家的商品能寄到国外吗？"", / ""运费怎么算？大概需要多久能到？""",您好，是否支持寄送到国外需要根据商品品类、目的地国家或地区以及可用物流渠道确认。 / 您好，国际运费和时效会因目的地、重量、清关要求和物流渠道不同而变化，建议您提供完整收货地址后核实预计费用和时效。
21,正常,,,,105,0,0,"""我购买的商品，想开发票抬头为公司，需要注意什么？"", / ""抬头写错了，能重新开具吗？""",您好，企业发票请准确填写公司名称、税号、地址电话、开户行及账号等信息，避免因抬头或税号错误影响使用。 / 您好，发票抬头填写错误时，请尽快联系客服核实是否可以作废重开；已入账或跨期开票可能需要按平台流程红冲后重开。
22,正常,,,,104,0,0,"""我收到商品后，发现商品有瑕疵，但是已经使用过了，能售后吗？"", / ""换货还是只能维修？""",您好，已使用商品如存在质量问题、瑕疵、错发漏发或描述明显不符，仍可提供照片或视频申请售后核实。 / 您好，核实为质量问题后可按规则办理维修、换货或退货退款；若仅因个人原因且影响二次销售，可能无法按无理由退换处理。
23,正常,,,,98,0,0,"""我想取消订单，但是订单已经付款了，能全额退款吗？""",您好，已付款订单能否全额退款，主要看订单当前状态。若尚未发货，通常可申请取消并按原支付路径退款；若已发货，需要拦截成功或收到货后按退货流程处理。请提供订单号，我们会帮您查看状态并尽快处理退款时效。
24,正常,,,,105,0,0,"""请问你们的商品有售后保障卡吗？"", / ""卡丢了，还能享受售后服务吗？""",您好，售后保障通常以订单记录、发票、电子保修凭证或商品序列号为准，是否随附实体保障卡以商品包装为准。 / 您好，保障卡丢失不一定影响售后服务，请提供订单号、购买凭证和商品信息，我们会核实保修期限及可享受的服务范围。
25,正常,,,,87,0,0,"""请问你们家支持以旧换新服务吗？""",您好，是否支持以旧换新取决于商品品类、活动范围和旧品评估规则。您可以提供想购买的新商品和旧品型号、成色、功能状态等信息，我们会帮您核实是否参加活动、预估抵扣方式以及回收流程。
